id,difficulty,correct_option,is_correct_preliminary,is_correct_updated,preliminary_confidence,updated_confidence,confidence_delta,cq_type
medqa_0982,easy,B,True,True,65,95,30,EPISTEMIC
medqa_0799,easy,B,True,True,75,95,20,EPISTEMIC
medqa_1095,medium,C,True,True,70,95,25,EPISTEMIC
medqa_1228,hard,B,True,True,85,95,10,EPISTEMIC
medqa_1054,medium,A,True,True,65,95,30,EPISTEMIC
medqa_0215,easy,C,False,False,75,85,10,EPISTEMIC
medqa_0155,medium,D,True,True,45,95,50,EPISTEMIC
medqa_0886,easy,A,True,True,85,95,10,EPISTEMIC
medqa_0640,medium,D,True,True,85,95,10,EPISTEMIC
medqa_0004,easy,B,True,True,90,95,5,EPISTEMIC
medqa_0141,medium,A,False,False,60,95,35,EPISTEMIC
medqa_0090,medium,D,False,True,65,95,30,EPISTEMIC
medqa_0655,medium,B,True,True,80,100,20,EPISTEMIC
medqa_0097,easy,B,True,True,90,95,5,EPISTEMIC
medqa_0777,easy,C,True,True,80,95,15,EPISTEMIC
medqa_1245,hard,B,False,True,70,90,20,EPISTEMIC
medqa_0893,easy,B,True,True,90,90,0,EPISTEMIC
medqa_0884,easy,A,True,True,95,100,5,EPISTEMIC
medqa_1069,easy,A,False,False,65,90,25,EPISTEMIC
medqa_0925,easy,C,False,False,55,85,30,EPISTEMIC
medqa_1159,easy,A,False,False,80,90,10,EPISTEMIC
medqa_0758,hard,D,True,True,25,95,70,EPISTEMIC
medqa_0451,easy,D,True,True,40,98,58,EPISTEMIC
medqa_0050,easy,D,True,True,95,100,5,EPISTEMIC
medqa_1119,medium,D,True,True,25,90,65,EPISTEMIC
medqa_0222,easy,C,True,True,85,90,5,EPISTEMIC
medqa_0206,easy,C,True,True,100,95,-5,EPISTEMIC
medqa_1134,easy,A,False,True,65,95,30,EPISTEMIC
medqa_0322,medium,C,False,False,65,85,20,EPISTEMIC
medqa_0951,medium,C,False,False,85,95,10,ALEATORIC
medqa_0208,easy,B,False,True,0,100,100,EPISTEMIC
medqa_0872,medium,C,False,True,65,98,33,EPISTEMIC
medqa_0507,hard,D,False,False,75,95,20,EPISTEMIC
medqa_0681,medium,B,True,True,90,95,5,EPISTEMIC
medqa_0344,hard,A,False,True,50,95,45,EPISTEMIC
